,network_type,noise,threshold,trust_min,trust_max,truth_fraction,mean_persistent,std_persistent
0,ER,0.05,0.5,0.2,0.4,0.05,0.2375,0.027726341266023538
1,ER,0.05,0.5,0.2,0.4,0.1,0.2385,0.023932195887548642
2,ER,0.05,0.5,0.2,0.4,0.2,0.278,0.030099833886584822
3,ER,0.05,0.5,0.2,0.4,0.3,0.3195,0.026547127904916566
4,ER,0.05,0.5,0.2,0.4,0.4,0.3165,0.033207679834640666
5,ER,0.05,0.5,0.2,0.4,0.5,0.31250000000000006,0.024057223447438814
6,ER,0.05,0.5,0.4,0.6,0.05,0.24050000000000002,0.03814118508908709
7,ER,0.05,0.5,0.4,0.6,0.1,0.24100000000000005,0.029308701779505692
8,ER,0.05,0.5,0.4,0.6,0.2,0.30599999999999994,0.029732137494637014
9,ER,0.05,0.5,0.4,0.6,0.3,0.32549999999999996,0.030573681492420894
10,ER,0.05,0.5,0.4,0.6,0.4,0.33699999999999997,0.030016662039607272
11,ER,0.05,0.5,0.4,0.6,0.5,0.318,0.029597297173897488
12,ER,0.05,0.5,0.6,0.8,0.05,0.41550000000000004,0.1864262588800194
13,ER,0.05,0.5,0.6,0.8,0.1,0.32399999999999995,0.16267759526130204
14,ER,0.05,0.5,0.6,0.8,0.2,0.2415,0.13679455398516419
15,ER,0.05,0.5,0.6,0.8,0.3,0.27949999999999997,0.10915470672398878
16,ER,0.05,0.5,0.6,0.8,0.4,0.16149999999999995,0.0817480886626715
17,ER,0.05,0.5,0.6,0.8,0.5,0.12050000000000001,0.04914010581999188
18,ER,0.05,0.5,0.8,1.0,0.05,0.9369999999999999,0.010999999999999968
19,ER,0.05,0.5,0.8,1.0,0.1,0.8469999999999999,0.058830264320330915
20,ER,0.05,0.5,0.8,1.0,0.2,0.6134999999999999,0.15311025439205567
21,ER,0.05,0.5,0.8,1.0,0.3,0.0915,0.1725478194588387
22,ER,0.05,0.5,0.8,1.0,0.4,0.0075000000000000015,0.022994564575133842
23,ER,0.05,0.5,0.8,1.0,0.5,0.0055,0.023973944189473705
24,ER,0.05,0.6,0.2,0.4,0.05,0.20050000000000004,0.028191310718020897
25,ER,0.05,0.6,0.2,0.4,0.1,0.2225,0.0325384388070479
26,ER,0.05,0.6,0.2,0.4,0.2,0.2595,0.03007906248539006
27,ER,0.05,0.6,0.2,0.4,0.3,0.2985000000000001,0.03623189202898463
28,ER,0.05,0.6,0.2,0.4,0.4,0.3215,0.024954959426935562
29,ER,0.05,0.6,0.2,0.4,0.5,0.31849999999999995,0.032446109165815244
30,ER,0.05,0.6,0.4,0.6,0.05,0.18500000000000003,0.04566180022732349
31,ER,0.05,0.6,0.4,0.6,0.1,0.22100000000000003,0.02808914381037628
32,ER,0.05,0.6,0.4,0.6,0.2,0.274,0.0348425027803687
33,ER,0.05,0.6,0.4,0.6,0.3,0.29050000000000004,0.03598263470064413
34,ER,0.05,0.6,0.4,0.6,0.4,0.316,0.034985711369071804
35,ER,0.05,0.6,0.4,0.6,0.5,0.3205,0.03680692869555948
36,ER,0.05,0.6,0.6,0.8,0.05,0.4335,0.18783703042797498
37,ER,0.05,0.6,0.6,0.8,0.1,0.3440000000000001,0.1729566419655516
38,ER,0.05,0.6,0.6,0.8,0.2,0.28200000000000003,0.14961951744341379
39,ER,0.05,0.6,0.6,0.8,0.3,0.21949999999999997,0.12427690855504896
40,ER,0.05,0.6,0.6,0.8,0.4,0.14950000000000002,0.07446307809914925
41,ER,0.05,0.6,0.6,0.8,0.5,0.099,0.055578772926361014
42,ER,0.05,0.6,0.8,1.0,0.05,0.9415000000000001,0.010136567466356614
43,ER,0.05,0.6,0.8,1.0,0.1,0.8589999999999998,0.030479501308256343
44,ER,0.05,0.6,0.8,1.0,0.2,0.6359999999999999,0.1054229576515476
45,ER,0.05,0.6,0.8,1.0,0.3,0.1285,0.16611065588937995
46,ER,0.05,0.6,0.8,1.0,0.4,0.001,0.003
47,ER,0.05,0.6,0.8,1.0,0.5,0.007000000000000001,0.030512292604784722
48,ER,0.05,0.7,0.2,0.4,0.05,0.169,0.02567099530598687
49,ER,0.05,0.7,0.2,0.4,0.1,0.184,0.03773592452822641
50,ER,0.05,0.7,0.2,0.4,0.2,0.242,0.026570660511172847
51,ER,0.05,0.7,0.2,0.4,0.3,0.269,0.031921779399024734
52,ER,0.05,0.7,0.2,0.4,0.4,0.30400000000000005,0.03469870314579495
53,ER,0.05,0.7,0.2,0.4,0.5,0.3155,0.030409702399069944
54,ER,0.05,0.7,0.4,0.6,0.05,0.15150000000000002,0.026129485260907838
55,ER,0.05,0.7,0.4,0.6,0.1,0.191,0.04097560249709575
56,ER,0.05,0.7,0.4,0.6,0.2,0.246,0.02973213749463701
57,ER,0.05,0.7,0.4,0.6,0.3,0.284,0.054442630355264796
58,ER,0.05,0.7,0.4,0.6,0.4,0.30650000000000005,0.031028212968200408
59,ER,0.05,0.7,0.4,0.6,0.5,0.3105,0.03138072656902641
60,ER,0.05,0.7,0.6,0.8,0.05,0.484,0.13443957750603056
61,ER,0.05,0.7,0.6,0.8,0.1,0.36800000000000005,0.1844884820253015
62,ER,0.05,0.7,0.6,0.8,0.2,0.29100000000000004,0.16155184926208677
63,ER,0.05,0.7,0.6,0.8,0.3,0.2125,0.0930524045901018
64,ER,0.05,0.7,0.6,0.8,0.4,0.19050000000000003,0.08969253034673512
65,ER,0.05,0.7,0.6,0.8,0.5,0.1145,0.06437973283573022
