network_type,noise,threshold,trust_min,trust_max,truth_fraction,baseline_50,baseline_100,degree_100,betweenness_100,baseline_50_std,baseline_100_std,degree_100_std,betweenness_100_std
ER,0.05,0.5,0.1,0.3,0.1,26,26,53,54,2,2,3,4
ER,0.05,0.5,0.1,0.3,0.3,35,35,44,44,3,3,3,3
ER,0.05,0.5,0.1,0.3,0.5,35,35,36,36,2,2,2,2
ER,0.05,0.5,0.1,0.3,0.7,27,27,26,25,1,1,1,1
ER,0.05,0.5,0.3,0.5,0.1,52,52,46,46,2,2,2,2
ER,0.05,0.5,0.3,0.5,0.3,58,58,52,52,2,2,2,2
ER,0.05,0.5,0.3,0.5,0.5,47,47,43,43,1,1,2,2
ER,0.05,0.5,0.3,0.5,0.7,29,29,26,26,0,0,1,0
ER,0.05,0.5,0.5,0.7,0.1,90,90,81,80,0,0,0,0
ER,0.05,0.5,0.5,0.7,0.3,69,69,61,61,0,0,1,1
ER,0.05,0.5,0.5,0.7,0.5,49,49,44,44,1,1,1,1
ER,0.05,0.5,0.5,0.7,0.7,27,27,24,24,1,1,2,2
ER,0.05,0.5,0.7,0.9,0.1,89,89,81,81,0,0,1,1
ER,0.05,0.5,0.7,0.9,0.3,67,67,61,60,1,1,1,1
ER,0.05,0.5,0.7,0.9,0.5,38,38,34,34,3,3,3,3
ER,0.05,0.5,0.7,0.9,0.7,5,5,5,5,4,4,3,3
ER,0.05,0.6,0.1,0.3,0.1,27,27,54,54,2,2,3,4
ER,0.05,0.6,0.1,0.3,0.3,35,35,43,43,2,2,2,2
ER,0.05,0.6,0.1,0.3,0.5,35,35,37,37,2,2,1,2
ER,0.05,0.6,0.1,0.3,0.7,27,27,25,25,1,1,1,1
ER,0.05,0.6,0.3,0.5,0.1,56,56,50,50,3,3,3,3
ER,0.05,0.6,0.3,0.5,0.3,58,58,53,52,2,2,2,2
ER,0.05,0.6,0.3,0.5,0.5,48,48,43,43,1,1,1,1
ER,0.05,0.6,0.3,0.5,0.7,29,29,26,27,0,0,1,1
ER,0.05,0.6,0.5,0.7,0.1,90,90,81,81,0,0,0,0
ER,0.05,0.6,0.5,0.7,0.3,70,70,63,63,0,0,1,1
ER,0.05,0.6,0.5,0.7,0.5,49,49,44,44,0,0,1,1
ER,0.05,0.6,0.5,0.7,0.7,27,27,24,23,1,1,1,1
ER,0.05,0.6,0.7,0.9,0.1,89,89,80,80,0,0,0,1
ER,0.05,0.6,0.7,0.9,0.3,67,67,61,61,1,1,1,1
ER,0.05,0.6,0.7,0.9,0.5,38,38,34,34,3,3,3,3
ER,0.05,0.6,0.7,0.9,0.7,8,8,7,7,3,3,3,3
ER,0.05,0.7,0.1,0.3,0.1,26,26,56,55,3,3,5,5
ER,0.05,0.7,0.1,0.3,0.3,34,34,44,44,3,3,2,2
ER,0.05,0.7,0.1,0.3,0.5,36,36,37,37,3,3,2,2
ER,0.05,0.7,0.1,0.3,0.7,28,28,26,25,1,1,1,1
ER,0.05,0.7,0.3,0.5,0.1,56,56,51,51,3,3,4,3
ER,0.05,0.7,0.3,0.5,0.3,60,60,53,54,2,2,2,2
ER,0.05,0.7,0.3,0.5,0.5,48,48,44,44,1,1,2,1
